State/ UT,Paved Roads-Number-of-Accident,Paved Roads-Persons-Killed,Paved Roads-Persons-Injured,UnPaved Roads-Number-of-Accident,UnPaved Roads-Persons-Killed,UnPaved Roads-Persons-Injured,Poor Surface Roads-Number-of-Accident,Poor Surface Roads-Persons-Killed,Poor Surface Roads-Persons-Injured,Under repair/construction Roads-Number-of-Accident,Undre repair/construction Roads-Persons-Killed,Under repair/construction Roads-Persons-Injured,Snowy/Muddy/Oily Roads-Number-of-Accident,Snowy/Muddy/Oily Roads-Persons-Killed,Snowy/Muddy/Oily Roads-Persons-Injured,Breakers on Roads-Number-of-Accident,Breaksers on Roads-Persons-Killed,Breakers on Roads-Persons-Injured,Flat/Straight Roads-Number-of-Accident,Flat/Straight Roads-Persons-Killed,Flat/Straight Roads-Persons-Injured,Curve Roads-Number-of-Accident,Curve Roads-Persons-Killed,Curve Roads-Persons-Injured,Inclined Roads-Number-of-Accident,Inclined Roads-Persons-Killed,Inclined Roads-Persons-Injured,Others Roads-Number-of-Accident,Others Roads-Persons-Killed,Others Roads-Persons-Injured
Andhra Pradesh,47199,15768,54385,32610,10021,42104,655,220,1048,498,171,673,133,38,204,648,189,535,35753,10908,21537,9625,3555,7680,4107,1575,12860,15001,5259,30747
Arunachal Pradesh,291,164,415,289,177,457,63,44,92,26,17,21,53,24,79,94,36,159,128,72,144,170,105,262,69,35,76,82,40,158
Assam,16701,5867,15449,8829,3083,7686,372,133,315,100,37,77,112,21,119,109,22,48,13539,4760,6602,434,151,375,344,132,222,2501,919,1901
Bihar,16475,9121,10715,11868,6033,8647,1960,1048,1349,727,367,510,857,470,622,2178,834,1410,11910,6089,6113,4387,2358,3258,2185,1144,1676,2897,1496,2944
Chhattisgarh,30728,8633,29589,17245,5179,16248,1440,473,1464,448,114,392,336,86,326,1366,267,1095,21057,6023,11938,3358,1102,3559,2456,701,2365,4057,1297,5467
Goa,12257,878,5523,4332,296,1908,251,23,149,4,0,0,93,5,50,91,0,24,7145,502,2601,1122,76,487,130,3,75,21,3,39
Gujarat,54553,18363,51840,26874,9032,25280,4301,1744,3593,288,95,316,489,171,503,731,187,603,36209,11592,23090,6765,2545,6322,4553,1831,4006,4873,2032,7262
Haryana,24900,10041,21242,14185,6257,11262,625,305,362,0,0,0,0,0,0,80,0,0,20509,8458,9787,1251,758,1148,0,0,0,2736,1406,2960
Himachal Pradesh,7843,2711,13917,3637,1583,6771,427,398,876,51,25,134,143,35,431,83,24,148,4333,1624,4854,1171,492,1956,529,235,1036,241,116,1187
Jammu & Kashmir,10262,1675,14652,6905,1199,9498,2098,307,2932,27,10,36,887,302,766,1200,216,2418,4933,749,3312,3042,498,4700,2593,462,3181,2846,423,6011
Jharkhand,7493,3986,5461,6695,3561,5799,416,219,348,301,133,300,169,91,131,903,309,742,8740,4244,3778,1024,615,852,643,342,625,4003,2047,3530
Karnataka,95543,23541,120861,55715,13108,69754,967,237,1616,516,113,603,983,242,1871,3218,693,5079,71081,15724,48650,10046,3219,24817,5941,1226,9550,18105,4535,31443
Kerala,98339,11097,110958,36700,4079,41546,4408,507,4847,452,30,461,1962,211,2032,536,8,546,58140,6401,40211,10996,1367,12572,8022,712,9160,632,42,4293
Madhya Pradesh,119048,20061,127552,68338,10408,68463,9557,1415,9436,1190,340,970,930,182,544,5199,339,3810,76886,13005,52463,16183,1978,14741,11490,1778,10654,11190,2417,21415
Maharashtra,139697,31032,98707,68644,14361,45400,2050,733,1732,676,224,422,1198,376,1013,1213,203,537,106855,21890,44129,10261,2087,6021,6865,1930,4147,8911,3478,8955
Manipur,1032,211,1854,1074,245,1862,264,58,465,61,10,97,104,11,164,84,31,131,947,185,979,304,77,540,207,50,361,152,36,521
Meghalaya,1158,302,666,553,144,318,0,0,0,0,0,0,0,0,0,0,0,0,1084,282,311,15,5,9,0,0,0,464,108,259
Mizoram,335,264,524,135,106,240,3,3,6,0,0,0,0,0,0,0,0,0,61,37,126,97,82,181,107,88,193,4,4,188
Nagaland,591,163,474,361,101,265,0,0,0,0,0,0,0,0,0,0,0,0,610,162,230,38,25,71,0,0,0,0,0,0
Orissa,20236,8269,21650,12469,5129,15135,1712,657,1831,772,339,837,428,186,430,1996,266,1929,12825,4967,9573,3874,1562,4275,1506,994,1867,2231,921,3550
Punjab,17535,12874,11254,6672,4925,4244,530,401,351,162,95,91,206,83,74,406,124,269,11186,8453,4202,1148,569,987,397,190,288,551,298,444
Rajasthan,68474,29469,74748,25371,10574,28313,906,378,1062,95,45,131,3,1,6,143,11,26,48530,20290,27615,653,253,813,209,92,236,1313,572,1645
Sikkim,211,83,389,323,95,516,25,3,35,0,0,0,36,8,49,90,20,55,126,37,174,168,53,262,86,28,222,160,53,330
Tamil Nadu,173119,39815,197178,78178,17410,91505,3520,561,3887,2933,463,3506,1065,124,1666,5357,502,4345,110997,25828,76170,15995,3045,17215,5341,1373,6844,9347,3388,15896
Telangana,36889,12878,34298,27881,8975,32802,655,220,1039,498,171,673,133,38,204,648,189,535,31020,9870,12800,4998,2095,12251,4214,1818,11276,16021,5382,29882
Tripura,1785,492,2994,725,191,1237,11,3,17,0,0,0,11,3,11,9,3,8,1178,308,1025,139,40,267,128,32,332,113,33,438
Uttarakhand,3498,2083,3690,1717,1090,1880,344,228,338,56,35,31,41,20,89,139,45,199,2226,1363,1340,327,218,476,155,108,248,75,77,325
Uttar Pradesh,54680,28998,36166,40912,21487,29955,5354,2817,4054,1392,801,836,1856,1135,1950,7833,3090,5227,35976,18285,17968,13361,7271,8427,10961,5700,7894,14900,8160,14716
West Bengal,16670,8341,18150,17556,7459,14183,1636,701,1533,900,456,829,777,431,726,1179,441,1121,20503,9228,11450,5269,2495,5364,1215,645,1413,11386,5209,9948
A & N Islands,609,59,802,218,23,283,0,0,0,0,0,0,0,0,0,0,0,0,404,46,313,77,2,95,11,1,25,0,0,0
Chandigarh,1140,403,981,371,133,335,0,0,0,0,0,0,0,0,0,0,0,0,738,262,335,14,8,17,0,0,0,0,0,0
D & N Haveli,203,134,258,99,68,112,0,0,0,0,0,0,0,0,0,0,0,0,174,118,96,9,4,10,0,0,0,16,15,32
