State/ UT,Fine/Clear - Total Accidents -2014 to 2016,Fine/Clear - Persons Killed - 2014 to 2016,Fine/Clear - Persons Injured - 2014 to 2016,Mist/ Foggy - Total Accidents -2014 to 2016,Mist/ Foggy - Persons Killed - 2014 to 2016,Mist/ Foggy - Persons Injured - 2014 to 2016,Cloudy - Total Accidents -2014 to 2016,Cloudy - Persons Killed - 2014 to 2016,Cloudy - Persons Injured - 2014 to 2016,Rainy - Total Accidents -2014 to 2016,Rainy - Persons Killed - 2014 to 2016,Rainy - Persons Injured - 2014 to 2016,Hail/sleet - Total Accidents -2014 to 2016,Hail/sleet - Persons Killed - 2014 to 2016,Hail/sleet - Persons Injured - 2014 to 2016,Snowfall - Total Accidents -2014 to 2016,Snowfall - Persons Killed - 2014 to 2016,Snowfall - Persons Injured - 2014 to 2016,Strong Wind - Total Accidents -2014 to 2016,Strong Wind - Persons Killed - 2014 to 2016,Strong Wind - Persons Injured - 2014 to 2016,Other extraordinary weather condition - Total Accidents -2014 to 2016,Other extraordinary weather condition - Persons Killed - 2014 to 2016,Other extraordinary weather condition - Persons Injured - 2014 to 2016,Very hot - Total Acc. - 2014 to 2016,Very hot - Persons Killed - 2014 to 2016,Very hot - Persons Injured - 2014 to 2016
Andhra Pradesh,32974,10897,39092,1775,530,2129,1672,509,2282,3394,2371,3786,125,51,176,1132,337,1320,562,192,910,6430,1591,6387,1264,467,1342
Arunachal Pradesh,172,89,259,45,29,65,42,31,89,57,46,61,12,7,13,24,15,23,27,21,33,52,26,80,23,15,15
Assam,7361,2655,6333,985,318,836,676,220,564,1054,688,1018,18,8,8,78,16,92,160,70,99,4077,778,2039,170,51,197
Bihar,4886,2772,3421,3482,1894,2256,1007,514,727,2497,2088,2182,85,44,51,793,430,543,1316,638,985,2753,850,1070,959,484,734
Chhattisgarh,12237,3432,11757,670,234,626,1535,364,1278,3914,2942,3734,84,25,67,876,275,789,507,168,555,6392,938,3064,1186,360,1051
Goa,7331,555,3268,0,0,0,27,6,17,1168,677,982,0,0,0,5,0,1,0,0,0,2,0,1,0,0,0
Gujarat,30599,10414,28574,1702,547,1549,1990,761,1754,3210,2770,3237,95,40,90,1016,367,986,1020,393,959,4684,909,2326,1255,449,1085
Haryana,10121,4053,9834,3707,1508,2835,1097,440,945,2709,1873,2936,310,210,262,446,240,351,753,461,539,2374,945,1913,393,196,271
Himachal Pradesh,4905,1852,8842,121,64,269,358,162,766,356,289,446,0,0,0,163,70,265,0,0,0,197,182,655,126,56,242
Jammu & Kashmir,9382,1545,12890,16,7,19,150,33,141,233,169,240,0,0,0,123,28,76,0,0,0,1458,70,611,0,0,0
Jharkhand,2866,1503,1893,845,400,610,1275,523,897,1849,1444,1576,208,264,437,356,183,327,587,254,710,1755,733,1356,392,180,275
Karnataka,55615,13831,68129,2458,513,3599,3288,741,5020,8089,5486,8690,57,7,54,1198,345,1519,986,250,1196,14904,1663,9008,1521,418,2891
Kerala,58827,6705,65572,977,58,1163,2568,185,3471,13330,7142,14173,0,0,0,0,0,0,0,0,0,0,95,1816,0,0,0
Madhya Pradesh,79768,13308,82880,3535,512,2882,3146,667,4773,7672,4467,7870,640,111,823,741,133,739,708,176,1058,10322,989,7240,912,217,860
Maharashtra,90536,22683,68407,881,240,674,2260,616,2036,3806,2464,3450,0,0,0,262,88,232,810,225,793,2516,1209,2215,434,132,238
Manipur,546,133,920,81,11,145,116,13,223,284,210,351,28,2,48,27,7,66,78,8,127,66,26,295,55,14,99
Meghalaya,387,80,269,47,15,28,61,23,28,231,184,201,0,0,0,53,12,32,13,4,7,370,32,109,0,0,0
Mizoram,170,145,242,15,11,20,0,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,298,89,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,18,58,0,0,0
Orissa,8544,3684,9073,1546,589,1749,1612,650,1880,3688,2739,3672,94,49,108,474,171,592,572,233,744,3125,821,2478,525,215,617
Punjab,8700,6517,5067,1716,1207,1296,812,513,619,941,803,817,9,2,6,374,257,232,209,133,246,188,503,538,394,260,262
Rajasthan,42478,18284,45837,1041,535,831,341,117,407,795,516,865,28,24,31,300,182,397,126,53,121,2195,508,1393,390,173,412
Sikkim,147,55,200,72,21,85,28,12,65,45,39,61,9,0,0,6,7,18,0,0,0,106,35,234,0,0,0
Tamil Nadu,107524,26671,126338,3668,577,3572,4124,741,4263,8262,5952,8749,39,7,49,3102,619,3571,1884,263,1799,7294,1474,7580,2784,578,4801
Telangana,30419,9891,31651,452,198,469,721,197,808,2279,2097,2302,211,56,296,1555,493,1664,663,201,894,5812,1310,4262,777,232,832
